dep,sexe,jour,hosp,rea,rad,dc
1,0,18/3/2020,2,0,1,0
1,1,18/3/2020,1,0,1,0
1,2,18/3/2020,1,0,0,0
2,0,18/3/2020,41,10,18,11
2,1,18/3/2020,19,4,11,6
2,2,18/3/2020,22,6,7,5
3,0,18/3/2020,4,0,1,0
3,1,18/3/2020,1,0,0,0
3,2,18/3/2020,3,0,1,0
4,0,18/3/2020,3,1,2,0
4,1,18/3/2020,3,1,0,0
4,2,18/3/2020,0,0,2,0
5,0,18/3/2020,8,1,9,0
5,1,18/3/2020,1,0,7,0
5,2,18/3/2020,7,1,2,0
6,0,18/3/2020,25,1,47,2
6,1,18/3/2020,15,1,19,0
6,2,18/3/2020,10,0,28,2
7,0,18/3/2020,12,1,0,0
7,1,18/3/2020,7,1,0,0
7,2,18/3/2020,3,0,0,0
8,0,18/3/2020,0,0,1,0
8,1,18/3/2020,0,0,1,0
8,2,18/3/2020,0,0,0,0
9,0,18/3/2020,1,1,2,0
9,1,18/3/2020,0,0,1,0
9,2,18/3/2020,1,1,1,0
10,0,18/3/2020,5,0,0,0
10,1,18/3/2020,4,0,0,0
10,2,18/3/2020,1,0,0,0
11,0,18/3/2020,8,7,9,3
11,1,18/3/2020,6,5,2,2
11,2,18/3/2020,2,2,7,1
12,0,18/3/2020,7,2,1,0
12,1,18/3/2020,3,1,0,0
12,2,18/3/2020,4,1,1,0
13,0,18/3/2020,98,11,59,4
13,1,18/3/2020,50,6,35,2
13,2,18/3/2020,48,5,23,2
14,0,18/3/2020,4,1,0,0
14,1,18/3/2020,3,0,0,0
14,2,18/3/2020,1,1,0,0
15,0,18/3/2020,2,1,0,0
15,1,18/3/2020,2,1,0,0
15,2,18/3/2020,0,0,0,0
16,0,18/3/2020,1,0,0,0
16,1,18/3/2020,0,0,0,0
16,2,18/3/2020,1,0,0,0
17,0,18/3/2020,5,2,2,0
17,1,18/3/2020,5,2,2,0
17,2,18/3/2020,0,0,0,0
18,0,18/3/2020,0,0,0,0
18,1,18/3/2020,0,0,0,0
18,2,18/3/2020,0,0,0,0
19,0,18/3/2020,0,0,0,0
19,1,18/3/2020,0,0,0,0
19,2,18/3/2020,0,0,0,0
21,0,18/3/2020,60,16,4,0
21,1,18/3/2020,30,10,0,0
21,2,18/3/2020,30,6,4,0
22,0,18/3/2020,1,1,3,0
22,1,18/3/2020,1,1,1,0
22,2,18/3/2020,0,0,2,0
23,0,18/3/2020,0,0,0,0
23,1,18/3/2020,0,0,0,0
23,2,18/3/2020,0,0,0,0
24,0,18/3/2020,2,1,1,0
24,1,18/3/2020,1,1,1,0
24,2,18/3/2020,1,0,0,0
25,0,18/3/2020,26,3,8,1
25,1,18/3/2020,15,2,2,1
25,2,18/3/2020,11,1,6,0
26,0,18/3/2020,17,2,0,0
26,1,18/3/2020,10,1,0,0
26,2,18/3/2020,7,1,0,0
27,0,18/3/2020,0,0,0,0
27,1,18/3/2020,0,0,0,0
27,2,18/3/2020,0,0,0,0
28,0,18/3/2020,5,3,0,1
28,1,18/3/2020,1,1,0,1
28,2,18/3/2020,4,2,0,0
