TotalDeaths
22115
17209
19899
14393
3022
10612
3341
4474
1198
3600
2737
1106
717
1230
504
130
350
103
217
899
334
331
193
333
123
80
232
128
61
316
273
138
93
76
296
297
59
373
22
80
87
66
7
56
173
83
109
40
26
8
95
25
98
159
293
8
32
118
23
109
76
5
25
1
53
6
11
24
13
39
4
11
4
34
12
2
11
31
31
18
5
29
11
20
34
19
4
3
5
8
12
27
8
23
9
5
25
6
7
0
3
35
27
9
10
2
2
3
3
0
0
20
2
2
7
8
3
0
9
6
5
6
8
6
1
0
0
0
8
0
9
1
0
0
1
3
4
3
4
5
4
0
0
1
9
5
1
8
6
0
2
4
0
1
0
3
3
2
2
2
1
0
0
2
0
0
2
2
0
0
0
0
0
0
0
0
0
1
2
3
1
0
2
0
0
0
0
0
0
1
1
1
2
1
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
